                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90278,                0.45656,                0.85488,                0.77238,                0.52314,                0.59537,                0.39722,                0.82757,                0.40934,                0.82791,              0.0086536,              0.0086536,              0.0086536
                     36,                 0.9024,                0.45729,                0.85389,                0.76807,                0.53319,                  0.598,                0.39801,                0.82033,                 0.4056,                0.82689,               0.008614,               0.008614,               0.008614
                     37,                0.89782,                0.45175,                0.85324,                0.76998,                0.53114,                0.60141,                0.39963,                0.82232,                0.40332,                0.82658,              0.0085744,              0.0085744,              0.0085744
                     38,                0.89634,                  0.451,                0.85226,                0.77247,                 0.5281,                0.60162,                0.40037,                0.81786,                0.40284,                0.82583,              0.0085348,              0.0085348,              0.0085348
                     39,                0.89352,                0.45076,                0.85047,                 0.7677,                0.53186,                0.60118,                0.40027,                0.81932,                0.40097,                0.82636,              0.0084952,              0.0084952,              0.0084952
                     40,                0.88848,                0.44868,                 0.8504,                0.77168,                0.53451,                 0.6034,                0.40194,                0.81402,                0.39741,                0.82515,              0.0084556,              0.0084556,              0.0084556
                     41,                0.89084,                0.44879,                0.84989,                0.77404,                0.53404,                0.60665,                0.40356,                0.81538,                0.39843,                0.82493,               0.008416,               0.008416,               0.008416
                     42,                0.89095,                0.44696,                0.85179,                0.78077,                0.53299,                0.60469,                0.40301,                0.81019,                0.39558,                0.82485,              0.0083764,              0.0083764,              0.0083764
                     43,                0.88455,                0.44669,                0.84993,                0.77563,                 0.5405,                0.60749,                 0.4056,                0.80684,                0.39301,                0.82462,              0.0083368,              0.0083368,              0.0083368
                     44,                0.88007,                0.44404,                0.84891,                0.78115,                 0.5364,                0.60838,                0.40638,                 0.8074,                0.39286,                0.82415,              0.0082972,              0.0082972,              0.0082972
                     45,                0.88298,                0.44274,                0.84878,                 0.7919,                0.53214,                0.60853,                0.40644,                0.79931,                0.39034,                0.82326,              0.0082576,              0.0082576,              0.0082576
                     46,                0.87914,                0.44194,                0.84879,                0.77583,                0.53859,                0.60955,                0.40723,                0.80454,                0.38988,                0.82341,               0.008218,               0.008218,               0.008218
                     47,                0.87737,                0.44078,                0.84753,                0.77182,                0.53944,                0.60806,                 0.4081,                0.79987,                 0.3886,                0.82315,              0.0081784,              0.0081784,              0.0081784
